2,161,281
2,251,235
2,319,220
2,351,219
2,496,282
2,576,477
2,712,320
2,848,235
2,893,231
2,968,250
2,1021,132
2,1166,1
2,1019,133
2,968,263
2,1076,477
2,946,452
2,682,566
2,636,641
2,580,687
2,465,654
2,417,659
2,217,752
2,179,855
2,206,913
2,224,999
2,166,1219
2,189,1288
2,288,1298
2,382,1210
2,569,686
2,1255,594
2,2028,364
2,1972,565
2,2141,961
2,1867,879
2,1551,977
2,1279,920
2,898,634
2,576,683
2,195,487
2,147,461
2,173,412
2,161,281
2,251,235
2,319,220
2,351,219
2,496,282
2,576,477
2,712,320
2,848,235
2,893,231
2,968,250
2,1021,132
2,1166,1
2,1019,133
2,968,263
2,1076,477
2,946,452
2,682,566
2,636,641
2,580,687
2,465,654
2,417,659
2,217,752
2,179,855
2,206,913
2,224,999
2,166,1219
2,189,1288
2,288,1298
2,382,1210
2,569,686
2,1255,594
2,2028,364
2,1972,565
2,2141,961
2,1867,879
2,1551,977
2,1279,920
2,898,634
2,576,683
2,195,487
2,147,461
2,173,412
2,161,281
3,31,1324
3,96,1046
3,210,927
3,364,832
3,524,816
3,564,685
3,1245,596
3,2025,369
3,1655,5
3,1554,36
3,1406,24
3,1163,153
3,1108,333
3,1109,442
3,1253,594
3,898,633
3,1269,918
3,1539,979
3,1880,884
3,1847,940
3,1852,1012
3,1707,1136
3,1412,1120
3,1204,1143
3,1054,1129
3,947,1131
3,770,1071
3,734,1091
3,802,907
3,807,837
3,668,1005
3,583,1061
3,450,1226
3,353,1296
3,289,1303
3,208,1297
3,167,1226
3,229,999
3,205,939
3,181,973
3,110,1028
3,70,1108
3,31,1324
3,96,1046
3,210,927
3,364,832
3,524,816
3,564,685
3,1245,596
3,2025,369
3,1655,5
3,1554,36
3,1406,24
3,1163,153
3,1108,333
3,1109,442
3,1253,594
3,898,633
3,1269,918
3,1539,979
3,1880,884
3,1847,940
3,1852,1012
3,1707,1136
3,1412,1120
3,1204,1143
3,1054,1129
3,947,1131
3,770,1071
3,734,1091
3,802,907
3,807,837
3,668,1005
3,583,1061
3,450,1226
3,353,1296
3,289,1303
3,208,1297
3,167,1226
3,229,999
3,205,939
3,181,973
3,110,1028
3,70,1108
3,31,1324
4,2557,58
4,2511,206
4,2519,352
4,2557,477
4,2408,710
4,2376,879
4,2330,945
4,2321,831
4,2406,497
4,2397,383
4,2359,311
4,2367,53
4,2359,12
4,2362,82
4,2359,323
4,2400,395
4,2402,505
4,2324,832
4,2330,944
4,2215,1046
4,2172,975
4,1860,878
4,1649,978
4,1268,915
4,893,632
4,1250,594
4,2024,369
4,1966,573
4,2088,890
4,2143,964
4,1851,877
4,1535,977
4,1260,911
4,1002,714
4,899,689
4,822,790
4,797,915
4,735,1093
4,777,1072
4,951,1139
4,1076,1127
4,1243,1145
4,1450,1116
4,1713,1134
4,1858,1008
4,1844,935
4,1876,877
4,2145,964
4,2049,813
4,2031,709
4,1971,578
4,2024,365
4,1659,3
4,1553,38
4,1391,23
4,1168,147
4,1105,335
4,1112,438
4,1258,600
4,2025,365
4,2206,217
4,2307,0
5,1237,1323
5,1289,1276
5,1382,1222
5,1578,1149
5,1584,1123
5,1422,1115
5,1197,1144
5,1072,1122
5,942,1126
5,772,1072
5,643,1158
5,576,1260
5,495,1324
5,543,1157
5,739,1087
5,797,903
5,802,852
5,668,1009
5,428,1250
5,286,1304
5,390,1205
5,570,685
5,460,648
5,201,487
5,141,463
5,173,403
5,153,289
5,111,373
5,129,436
5,105,515
5,160,655
5,192,683
5,114,729
5,106,800
5,204,907
5,371,824
5,521,816
5,567,685
5,1246,599
5,1114,435
5,1123,245
5,1163,151
5,1343,46
5,1415,20
5,1571,43
5,1657,0
5,1687,28
5,1801,14
5,1687,21
5,1815,160
5,2023,364
5,2208,216
5,2306,12
5,2203,213
5,2021,369
5,1968,574
5,2038,739
5,2085,890
5,2140,965
5,2216,1044
5,2300,1171
5,2381,1212
5,2471,1323
5,2387,1218
5,2295,1172
5,2213,1040
5,2331,948
5,2319,830
5,2401,500
5,2385,368
5,2360,270
5,2367,61
5,2358,0
5,2360,290
5,2402,388
5,2408,499
5,2323,828
5,2334,944
5,2213,1041
5,2301,1176
5,2384,1219
5,2473,1319
